id,distance,query_name,title,rg_refs,chunk_type,text,final_rank
rg271_chunk_65,0.845486581325531,"complaint_definition, dispute_context, idr_process_response, idr_timeframes",Different timeframes for traditional trustee complaints,['RG 271.59'],timeframe,Different timeframes apply to: (a) complaints about a traditional trustee (see RG 271.60).,1
rg271_chunk_84,0.8722155094146729,"idr_process_response, idr_timeframes",Suspension of IDR timeframe during legal proceedings or court directions,['RG 271.77'],requirement,"Under the 45 calendar day maximum IDR timeframe, time stops running when: (a) another person commences legal proceedings to be included as a beneficiary and the outcome would affect the handling of the complaint at IDR; or (b) the traditional trustee applies for an opinion, advice or direction from a court to reasonably handle the complaint at IDR (e.g. where the trustee company is acting as a manager or administrator of the trust property).",2
rg271_chunk_83,0.8982959389686584,"complaint_definition, dispute_context, idr_process_response, idr_timeframes",Traditional trustee obligations during 45 calendar day IDR timeframe,['RG 271.76'],requirement,"During the 45 calendar day maximum IDR timeframe, a traditional trustee must: (a) on receiving the complaint, use their best endeavours to identify and notify other people who may request an information return (i.e. other beneficiaries) and who may reasonably have an interest in the outcome of the complaint. We encourage traditional trustees to do this as quickly as possible; (b) where relevant to the efficient and fair handling of the complaint at IDR, consider the views of those identified at RG 271.76(a) informed of the progress of the complaint at key stages of the IDR process, including when the trustee gives an IDR response or IDR delay notification.",3
rg271_chunk_67,0.9299966096878052,"dispute_context, idr_timeframes",Table 2: Maximum IDR timeframes for financial firms to provide an IDR response - Part 1,"['RG 271.75', 'RG 271.56', 'RG 271.78']",table,"Complaint type: Standard complaints - Maximum timeframes for IDR response: No later than 30 calendar days after receiving the complaint.
Traditional trustee complaints - No later than 45 calendar days after receiving the complaint.
Superannuation trustee complaints, except for complaints about death benefit distributions - No later than 45 calendar days after receiving the complaint.",4
rg271_chunk_86,0.936591625213623,idr_timeframes,Complaints about insurance in superannuation and IDR timeframe compliance,['RG 271.79'],requirement,"A complainant may lodge a complaint about insurance in superannuation with the insurer or the trustee. Trustees, insurers and administrators must have arrangements in place to ensure the maximum IDR timeframe is complied with regardless of the initial lodgement point. Time starts to run from the date the complaint is first lodged with either one of the parties.",5
