id,distance,query_name,title,rg_refs,chunk_type,text,final_rank
rg271_chunk_41,0.7315250635147095,"complaint_definition, dispute_context, idr_process_response",Clarification of what is not a complaint,['RG 271.33'],definition,"RG 271.33 For avoidance of doubt, we do not consider the following to be ‘complaints’: (a) employment-related complaints raised by financial firm staff; (b) comments made about a firm where a response is not expected, such as: (i) feedback provided in surveys; or (ii) reports intended solely to bring a matter to a financial firm’s attention—for example, that an automatic teller machine (ATM) is damaged; (c) hardship notices or requests to postpone enforcement proceedings, unless the customer raises issues that meet the definition of complaint; and (d) reports of unauthorised transactions under the ePayments Code and disputed transactions under a chargeback process. However, we consider that a complaint has been made if the consumer raises separate issues related to the transaction that meet the definition of a complaint, or expresses dissatisfaction with the outcome or handling of the unauthorised or disputed transaction. Note: The ePayments Code contains special arrangements for dealing with reports of unauthorised transactions.",1
rg271_chunk_122,0.7660160064697266,"complaint_definition, dispute_context, idr_timeframes",Complaints Involving Hardship Notices and Enforcement Postponement,['RG 271.116'],requirement,"When complaints involve hardship notices or requests for postponement of enforcement proceedings, interest and other default charges may continue to accrue. This may increase the need for financial firms to directly refer complaints to AFCA. The complainant’s consent to the referral also needs to be obtained in these circumstances: see RG 267.100.",2
rg271_chunk_37,0.7769762873649597,"complaint_definition, dispute_context, idr_process_response, idr_timeframes",Proactive approach to identifying complaints,['RG 271.30'],requirement,"We expect firms to take a proactive approach to identifying complaints. A response or resolution is ‘explicitly expected’ if a consumer clearly requests it. It is ‘implicitly expected’ if the consumer raises the expression of dissatisfaction in a way that implies the consumer reasonably expects the firm to respond and/or take specific action. A consumer or small business is not required to expressly state the word ‘complaint’ or ‘dispute’, or put their complaint in writing, to trigger a financial firm’s obligation to deal with a matter according to our IDR requirements. Note: Our guidance about accessibility of the IDR process, including complaint lodgement methods, is set out in",3
rg271_chunk_59,0.7958500981330872,idr_timeframes,Contents of an IDR response,"['RG 271.53', 'RG 271.84(a)']",requirement,"An ‘IDR response’ is a written communication from a financial firm to the complainant, informing them of: (a) the final outcome of their complaint at IDR (either confirmation of actions taken by the firm to fully resolve the complaint or reasons for rejection or partial rejection of the complaint); (b) their right to take the complaint to AFCA if they are not satisfied with the IDR response; and (c) the contact details for AFCA. Note 1: In order to give an IDR response, unlicensed COI lenders who have not joined AFCA must inform the complainant of the final outcome of their complaint at IDR within 30 calendar days. Note 2: If the complaint relates to a superannuation death benefit distribution, the death benefit decision-maker must also give the complainant information about the 28 calendar day time limit (under s1056 of the Corporations Act) for lodging a complaint with AFCA (see RG 271.84(a)). This time limit must be included in a death benefit decision-maker’s notice. Note 3: If a complaint has been referred to IDR by AFCA, the financial firm may draft the IDR response to reflect the fact that the customer has already initiated contact with AFCA.",4
rg271_chunk_97,0.8044031858444214,idr_timeframes,Purpose of enforcement action restrictions and reasonable time period,['RG 271.90'],requirement,RG 271.90 This will enable the complaint to be genuinely dealt with at IDR. The ‘reasonable time thereafter’ will also allow the complainant the opportunity to lodge their complaint with AFCA if the complaint cannot be resolved at IDR.,5
